geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0033554	cellular response to stress	http://amigo.geneontology.org/amigo/term/GO:0033554	1867	73	25.096495439270285	2.908772668145994	0	0	440;467;468;488;580;677;811;1051;1054;1326;1491;1647;1649;1843;2923;3309;3725;4170;4176;4189;4193;4609;4780;4792;5034;5111;5187;5366;5611;5743;6400;6720;7071;7184;7316;7422;7494;7737;7873;8531;8614;9451;9601;9643;9709;10130;10961;11153;22872;23645;23657;23753;26272;29920;51009;51514;51726;54107;54407;54541;54956;54962;55829;56005;57761;58515;64421;64764;64782;79094;84309;84447;91607	CHAC1;HERPUD1;DDIT3;ATF3;HSPA5;SDF2L1;PDIA4;PTGS2;HSP90B1;DDIT4;STC2;CTH;CEBPB;DNAJB9;MANF;TRIB3;GADD45A;SLC7A11;XBP1;ASNS;CALR;DNAJB11;SELENOK;PPP1R15A;SEL1L;FICD;KLF10;PDIA3;SLC38A2;DNAJC3;PDIA6;NUDT16L1;EIF2AK3;VEGFA;CEBPG;SREBF1;PER1;P4HB;CREB3L2;RNF113A;DUSP1;PMAIP1;DERL2;MYDGF;SLFN11;ATF4;SYVN1;JUN;DCLRE1C;MYC;ATP2A2;PARP16;PCNA;MAP3K8;SELENOS;ERP29;MCL1;PYCR2;MDM2;DTL;NFE2L2;FBXO4;TIPIN;ZFP36L1;POLE3;SEC31A;AEN;MORF4L2;BARD1;MCM7;UBC;NFKBIA;YBX3
GO:0034976	response to endoplasmic reticulum stress	http://amigo.geneontology.org/amigo/term/GO:0034976	268	40	3.602496399423908	11.103411513859275	0	0	440;467;468;488;811;1051;1491;1649;2923;3309;3725;4189;4780;5034;5366;5611;6400;7184;7494;7873;8614;9451;9601;9709;10130;10961;11153;22872;23645;23753;51009;51726;54956;55829;56005;57761;58515;64764;79094;84447	CHAC1;HERPUD1;DDIT3;ATF3;HSPA5;SDF2L1;PDIA4;HSP90B1;STC2;CTH;CEBPB;DNAJB9;MANF;TRIB3;XBP1;ASNS;CALR;DNAJB11;SELENOK;PPP1R15A;SEL1L;FICD;PDIA3;DNAJC3;PDIA6;EIF2AK3;P4HB;CREB3L2;PMAIP1;DERL2;MYDGF;ATF4;SYVN1;JUN;ATP2A2;PARP16;SELENOS;ERP29;NFE2L2;SEC31A
GO:0035966	response to topologically incorrect protein	http://amigo.geneontology.org/amigo/term/GO:0035966	188	30	2.527124339894383	11.871200607902736	0	0	440;467;468;811;1491;1649;3309;4189;4780;5611;7184;7494;7873;8614;9451;9709;10130;11153;22872;23645;23753;25822;51009;51726;54956;55829;56005;64764;79094;84447	CHAC1;HERPUD1;DDIT3;ATF3;HSPA5;SDF2L1;HSP90B1;STC2;CTH;DNAJB9;MANF;XBP1;ASNS;CALR;DNAJB11;PPP1R15A;FICD;DNAJC3;PDIA6;EIF2AK3;DNAJB5;CREB3L2;DERL2;MYDGF;ATF4;SYVN1;PARP16;SELENOS;NFE2L2;SEC31A
GO:0006986	response to unfolded protein	http://amigo.geneontology.org/amigo/term/GO:0006986	168	29	2.258281325012002	12.841624149659864	0	0	440;467;468;811;1491;1649;3309;4189;4780;5611;7184;7494;7873;8614;9451;9709;10130;11153;22872;23645;25822;51009;51726;54956;55829;56005;64764;79094;84447	CHAC1;HERPUD1;DDIT3;ATF3;HSPA5;HSP90B1;STC2;CTH;DNAJB9;MANF;XBP1;ASNS;CALR;DNAJB11;PPP1R15A;FICD;DNAJC3;PDIA6;EIF2AK3;DNAJB5;CREB3L2;DERL2;MYDGF;ATF4;SYVN1;PARP16;SELENOS;NFE2L2;SEC31A
GO:0035967	cellular response to topologically incorrect protein	http://amigo.geneontology.org/amigo/term/GO:0035967	150	27	2.0163226116178588	13.390714285714287	0	0	440;467;468;811;1491;1649;3309;4189;4780;5611;7184;7494;8614;9451;9709;10130;11153;22872;23645;23753;51009;51726;54956;55829;56005;64764;84447	HERPUD1;DDIT3;ATF3;HSPA5;SDF2L1;HSP90B1;STC2;CTH;DNAJB9;XBP1;ASNS;CALR;DNAJB11;PPP1R15A;FICD;DNAJC3;PDIA6;EIF2AK3;CREB3L2;DERL2;MYDGF;ATF4;SYVN1;PARP16;SELENOS;NFE2L2;SEC31A
GO:0034620	cellular response to unfolded protein	http://amigo.geneontology.org/amigo/term/GO:0034620	132	26	1.774363898223716	14.653138528138527	0	0	440;467;468;811;1491;1649;3309;4189;4780;5611;7184;7494;8614;9451;9709;10130;11153;22872;23645;51009;51726;54956;55829;56005;64764;84447	HERPUD1;DDIT3;ATF3;HSPA5;HSP90B1;STC2;CTH;DNAJB9;XBP1;ASNS;CALR;DNAJB11;PPP1R15A;FICD;DNAJC3;PDIA6;EIF2AK3;CREB3L2;DERL2;MYDGF;ATF4;SYVN1;PARP16;SELENOS;NFE2L2;SEC31A
GO:0030968	endoplasmic reticulum unfolded protein response	http://amigo.geneontology.org/amigo/term/GO:0030968	115	26	1.545847335573692	16.81925465838509	0	0	440;467;468;811;1491;1649;3309;4189;4780;5611;7184;7494;8614;9451;9709;10130;11153;22872;23645;51009;51726;54956;55829;56005;64764;84447	HERPUD1;DDIT3;ATF3;HSPA5;HSP90B1;STC2;CTH;DNAJB9;XBP1;ASNS;CALR;DNAJB11;PPP1R15A;FICD;DNAJC3;PDIA6;EIF2AK3;CREB3L2;DERL2;MYDGF;ATF4;SYVN1;PARP16;SELENOS;NFE2L2;SEC31A
GO:0006984	ER-nucleus signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0006984	45	14	0.6048967834853577	23.144444444444442	4.440892098500626e-16	5.046518758433649e-13	440;467;468;488;811;1649;3309;4780;7184;7494;9451;9709;23645;55829	HERPUD1;DDIT3;ATF3;HSPA5;HSP90B1;XBP1;ASNS;CALR;PPP1R15A;EIF2AK3;ATF4;ATP2A2;SELENOS;NFE2L2
GO:1905897	regulation of response to endoplasmic reticulum stress	http://amigo.geneontology.org/amigo/term/GO:1905897	78	16	1.0484877580412866	15.260073260073261	5.440092820663267e-15	5.495098203627751e-12	1649;3309;4189;4780;5366;5611;7494;7873;9451;9709;10961;11153;23645;51009;55829;84447	HERPUD1;DDIT3;HSPA5;DNAJB9;MANF;XBP1;PPP1R15A;FICD;DNAJC3;EIF2AK3;PMAIP1;DERL2;SYVN1;SELENOS;ERP29;NFE2L2
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	http://amigo.geneontology.org/amigo/term/GO:0070059	61	14	0.8199711953912626	17.073770491803277	5.395683899678261e-14	4.905216233197507e-11	468;1051;1649;5366;7494;9451;9709;10961;23645;55829;57761;58515;79094;84447	CHAC1;HERPUD1;DDIT3;CEBPB;TRIB3;XBP1;SELENOK;PPP1R15A;EIF2AK3;PMAIP1;ATF4;SYVN1;SELENOS;ERP29
